PV_kWp,BESS_kWh,E_import_grid_kWh,E_import_ec_pv_kWh,E_import_ec_ev_kWh,E_export_grid_kWh,E_bess_throughput_kWh,E_hp_heat_kWh,E_hp_cool_kWh,E_pv_gen_kWh,location,use_v2h,lifetime_y
383.0,2742.0,428159.4136012814,11414516.664708734,0.0,4300401.778429309,220658.46920601148,198237.7593860627,71342.03839463412,10408785.176845714,Vienna,False,25
484.0,1256.0,457824.52308971353,10980889.93223661,0.0,6622056.693288107,248716.17364935187,198237.7593860627,71342.03839463412,13153660.641235841,Vienna,False,25
1132.0,3807.0,545120.3752099109,9655659.78136676,0.0,22987326.95879032,334861.2162335891,198237.7593860627,71342.03839463412,30764346.789006136,Vienna,False,25
1260.0,3588.0,554202.0767871714,9521575.601578284,0.0,26336415.917564567,344678.697177798,198237.7593860627,71342.03839463412,34243000.84288669,Vienna,False,25
1806.0,1099.0,581976.7306998208,9123642.879070293,0.0,40778799.45915756,373864.6191180656,198237.7593860627,71342.03839463412,49081634.541470915,Vienna,False,25
2055.0,374.0,590707.2305138705,8999374.476640433,0.0,47421314.03684972,386325.490325453,198237.7593860627,71342.03839463412,55848703.75566042,Vienna,False,25
2676.0,2923.0,605980.6111292439,8754000.439059934,0.0,64080322.2295547,403279.19312712655,198237.7593860627,71342.03839463412,72725611.31394029,Vienna,False,25
3137.0,459.0,613956.6892652154,8651981.372242503,0.0,76495120.62389036,413130.5563744138,198237.7593860627,71342.03839463412,85254201.30486947,Vienna,False,25
3370.0,1963.0,617241.0504868457,8592728.581653066,0.0,82780501.38049152,416478.86888656835,198237.7593860627,71342.03839463412,91586438.76232393,Vienna,False,25
3983.0,2091.0,624373.5612758957,8485639.349070998,0.0,99338236.31021029,424780.44826631114,198237.7593860627,71342.03839463412,108245930.44223624,Vienna,False,25
